Houses,name,Food,name,Transportation,name,Emergency Services,name,Education,name,Green Assets,name,Businesses,name
,,POINT (72.8517064 19.0281629),F23,POINT (72.8546433 19.0258447),B23,,,,,,,POINT (72.8543406 19.0313546),K24
,,POINT (72.8523403 19.0245283),F24,POINT (72.8564791 19.0277798),B24,,,,,,,POINT (72.8544479 19.03245),K25
,,POINT (72.8520159 19.0265177),F25,POINT (72.8564952 19.0283326),B25,,,,,,,POINT (72.8552901 19.0303404),K26
,,POINT (72.8523323 19.0360912),F26,POINT (72.8572194 19.0285151),B26,,,,,,,POINT (72.8531205 19.028814),K27
,,POINT (72.8528927 19.0370477),F27,POINT (72.8586606 19.0288183),B27,,,,,,,POINT (72.8516336 19.0286022),K29
,,POINT (72.852882 19.0355568),F28,POINT (72.8577588 19.0305182),B28,,,,,,,POINT (72.851985 19.0292336),K30
,,POINT (72.8529547 19.0341034),F29,POINT (72.8502526 19.0278086),R29,,,,,,,POINT (72.8526529 19.0296773),K31
,,POINT (72.8515404 19.0220356),F30,,,,,,,,,POINT (72.8500429 19.0312922),K32
,,POINT (72.8528225 19.0212089),F31,,,,,,,,,POINT (72.8511295 19.0253746),K33
,,POINT (72.8573241 19.0299279),F32,,,,,,,,,POINT (72.8544161 19.026536),K34
,,POINT (72.849559 19.0391915),F33,,,,,,,,,POINT (72.8553817 19.0261911),K35
,,POINT (72.8497513 19.0380656),F34,,,,,,,,,POINT (72.848562 19.0303361),K36
,,POINT (72.8494616 19.0376447),F35,,,,,,,,,POINT (72.8490529 19.028558),K37
,,POINT (72.8504591 19.0362463),F36,,,,,,,,,POINT (72.8483287 19.0299272),K38
,,POINT (72.8506898 19.0364472),F37,,,,,,,,,POINT (72.8489617 19.029699),K39
,,POINT (72.8483843 19.0344016),F38,,,,,,,,,POINT (72.8483394 19.030622),K40
,,POINT (72.8483294 19.0339553),F39,,,,,,,,,,
,,POINT (72.8495203 19.034252),F40,,,,,,,,,,
,,POINT (72.8529612 19.0296412),Point 41,,,,,,,,,,
