Houses,name,Blue Assets,name,Education,name,Business,name,Emergency Services,name,Transportation,name,Food,name,Green Assets,name
,,,,POINT (2.1637924 41.3864038),Point 20,POINT (2.1794454 41.4035233),Point 20,,,POINT (2.1818401 41.4064968),Point 22,POINT (2.1474755 41.3909498),Point 21,POINT (2.1608649 41.3890814),Point 20
,,,,POINT (2.1532658 41.3838022),Point 21,POINT (2.1840802 41.4050966),Point 21,,,POINT (2.1751668 41.4073015),Point 23,POINT (2.1478188 41.3868447),Point 22,POINT (2.1589191 41.395886),Point 21
,,,,POINT (2.1527294 41.3897759),Point 22,POINT (2.1682499 41.398552),Point 22,,,POINT (2.1715726 41.4081947),Point 24,POINT (2.1609938 41.3942337),Point 23,,
,,,,POINT (2.1573595 41.393687),Point 23,POINT (2.1715222 41.397039),Point 23,,,POINT (2.174743 41.4109104),Point 25,POINT (2.1639121 41.3901932),Point 24,,
,,,,POINT (2.167166 41.3925577),Point 24,POINT (2.1490345 41.3905115),Point 24,,,POINT (2.1451904 41.3921249),Point 26,POINT (2.1576464 41.3917225),Point 25,,
,,,,POINT (2.1752863 41.3920552),Point 25,POINT (2.1543091 41.3879613),Point 25,,,POINT (2.1476581 41.3904186),Point 27,POINT (2.1583975 41.3906278),Point 26,,
,,,,POINT (2.1786766 41.3931982),Point 26,POINT (2.1576457 41.3862468),Point 26,,,POINT (2.1496858 41.3892997),Point 28,POINT (2.1473897 41.3870701),Point 27,,
,,,,POINT (2.1741062 41.3952344),Point 27,POINT (2.1493523 41.3764095),Point 27,,,POINT (2.1510913 41.3912717),Point 29,POINT (2.1470034 41.38608),Point 28,,
,,,,POINT (2.1718445 41.3988032),Point 28,POINT (2.1455436 41.3825359),Point 28,,,POINT (2.1500077 41.3910464),Point 30,POINT (2.1500719 41.3863778),Point 29,,
,,,,POINT (2.1713188 41.400622),Point 29,POINT (2.1627431 41.3755181),Point 29,,,POINT (2.1545567 41.3895654),Point 31,POINT (2.1480227 41.3845506),Point 30,,
,,,,POINT (2.1703792 41.4058826),Point 30,POINT (2.1550242 41.3775017),Point 30,,,POINT (2.1530332 41.3884143),Point 32,POINT (2.1501363 41.3889214),Point 31,,
,,,,POINT (2.1763062 41.4058907),Point 31,POINT (2.1589831 41.3766241),Point 31,,,POINT (2.151102 41.3893641),Point 33,POINT (2.1508873 41.3886558),Point 32,,
,,,,POINT (2.1833551 41.4040077),Point 32,POINT (2.1603981 41.3806697),Point 32,,,POINT (2.1568506 41.3885044),Point 34,POINT (2.1725421 41.3977899),Point 33,,
,,,,POINT (2.1827435 41.4037662),Point 33,POINT (2.1690608 41.3910978),Point 33,,,POINT (2.1589749 41.387796),Point 35,POINT (2.1741729 41.3964539),Point 34,,
,,,,POINT (2.1809625 41.3985317),Point 34,POINT (2.1760131 41.3900031),Point 34,,,POINT (2.1555953 41.3867818),Point 36,POINT (2.1669631 41.3980474),Point 35,,
,,,,,,POINT (2.1689535 41.3863729),Point 35,,,POINT (2.1600907 41.387796),Point 37,POINT (2.1815758 41.3954559),Point 36,,
,,,,,,POINT (2.1682561 41.3890051),Point 36,,,POINT (2.16331 41.3859097),Point 38,POINT (2.1808677 41.3938462),Point 37,,
,,,,,,POINT (2.1824482 41.3959703),Point 37,,,POINT (2.1445238 41.3870268),Point 39,POINT (2.1693449 41.3979992),Point 38,,
,,,,,,POINT (2.1833601 41.3947751),Point 38,,,POINT (2.1480214 41.3850627),Point 40,POINT (2.1709757 41.3956652),Point 39,,
,,,,,,POINT (2.1610097 41.3932578),Point 39,,,POINT (2.1445774 41.3842094),Point 41,POINT (2.1726494 41.3936692),Point 40,,
,,,,,,POINT (2.1631142 41.3941767),Point 40,,,POINT (2.1500384 41.3844831),Point 42,POINT (2.1795158 41.4001399),Point 41,,
,,,,,,POINT (2.1725154 41.3901045),Point 41,,,POINT (2.1509182 41.3843704),Point 43,POINT (2.169066 41.4008481),Point 42,,
,,,,,,POINT (2.1757233 41.390362),Point 42,,,POINT (2.1454947 41.387719),Point 44,POINT (2.1726065 41.4005584),Point 43,,
,,,,,,POINT (2.1684277 41.3900401),Point 43,,,POINT (2.1536995 41.3783566),Point 45,POINT (2.1716623 41.4030049),Point 44,,
,,,,,,POINT (2.1673763 41.3898308),Point 44,,,POINT (2.1519077 41.3774147),Point 46,POINT (2.1765547 41.4026347),Point 45,,
,,,,,,POINT (2.1665823 41.3904184),Point 45,,,POINT (2.1501482 41.3800955),Point 47,POINT (2.1784859 41.4029566),Point 46,,
,,,,,,POINT (2.1760098 41.392782),Point 46,,,POINT (2.1629584 41.3923388),Point 48,POINT (2.1734219 41.4049362),Point 47,,
,,,,,,POINT (2.1491968 41.3938189),Point 47,,,POINT (2.1616388 41.3946649),Point 49,POINT (2.1736212 41.4088772),Point 48,,
,,,,,,POINT (2.1505809 41.3940523),Point 48,,,POINT (2.1691168 41.3902944),Point 50,POINT (2.1760567 41.4068574),Point 49,,
,,,,,,POINT (2.1552908 41.3947284),Point 49,,,POINT (2.165705 41.3955824),Point 51,POINT (2.1783204 41.4059964),Point 50,,
,,,,,,POINT (2.1561384 41.3953964),Point 50,,,POINT (2.1690846 41.3969586),Point 52,POINT (2.1791895 41.4059964),Point 51,,
,,,,,,POINT (2.1445854 41.3898491),Point 51,,,POINT (2.1637953 41.3980129),Point 53,POINT (2.181979 41.404057),Point 52,,
,,,,,,POINT (2.1768835 41.4004791),Point 52,,,POINT (2.1669281 41.3927171),Point 54,POINT (2.1803589 41.4031557),Point 53,,
,,,,,,POINT (2.1794155 41.3983705),Point 53,,,POINT (2.1712304 41.3919605),Point 55,POINT (2.1745117 41.4105522),Point 54,,
,,,,,,POINT (2.1724958 41.4085618),Point 54,,,POINT (2.1578572 41.3927716),Point 56,POINT (2.1753486 41.410174),Point 55,,
,,,,,,POINT (2.1534823 41.3817525),Point 55,,,POINT (2.1600566 41.3911297),Point 57,POINT (2.1754022 41.4090716),Point 56,,
,,,,,,POINT (2.1569155 41.3817847),Point 56,,,POINT (2.1623884 41.3894306),Point 58,POINT (2.1750911 41.4086371),Point 57,,
,,,,,,,,,,POINT (2.183323 41.3949315),Point 59,POINT (2.1747263 41.4079289),Point 58,,
,,,,,,,,,,POINT (2.1833338 41.3976438),Point 60,POINT (2.1741791 41.4075507),Point 59,,
,,,,,,,,,,POINT (2.1785809 41.3936679),Point 61,POINT (2.1770652 41.4074139),Point 60,,
,,,,,,,,,,POINT (2.17636 41.3919616),Point 62,POINT (2.1658643 41.3919782),Point 61,,
,,,,,,,,,,POINT (2.1786774 41.3923962),Point 63,POINT (2.1668084 41.3889839),Point 62,,
,,,,,,,,,,POINT (2.1820248 41.4032451),Point 64,POINT (2.1680315 41.3877765),Point 63,,
,,,,,,,,,,POINT (2.1792997 41.4024242),Point 65,POINT (2.1704884 41.3918494),Point 64,,
,,,,,,,,,,POINT (2.1830012 41.4014102),Point 66,POINT (2.1738251 41.3910203),Point 65,,
,,,,,,,,,,POINT (2.1770252 41.4041866),Point 67,POINT (2.1569379 41.3870521),Point 66,,
